"","Control_3","Control_4","Control_7","Control_9","Control_13","FCDI_1","FCDI_2","FCDI_3","FCDI_4","FCDI_5","FCDII_1","FCDII_2","FCDII_3","FCDII_4","FCDII_5","FCDII_6","FCDII_12","FCDII_14","FCDII_15","FCDII_16","FCDII_17","FCDII_18","FCDIII_2","FCDIII_4","FCDIII_5","HME_1","HME_2","HME_3","HME_11","HME_12","HME_13","HME_14","TSC_1","TSC_2","TSC_5"
"A1BG",209481,120434,304521,159372,992587,302653,398017,197735,337352,61476.5,273459,96952.1,290644,530459,102845,137930,249896,257424,48725,200374,102089,150694,95517.1,888154,153847,161454,148274,2358400,130832,286055,478810,76038.4,236457,583257,32976.5
"A2M",5639680,5205390,5837050,3522720,18434300,4853190,7841420,4624180,10292400,4307760,7275300,4222910,7810050,16342600,7832750,4776070,3837770,8339160,3442780,4334190,3651140,4253350,3304460,11803400,5008060,8821550,5109800,62703100,14918000,10377100,11023000,3179870,8152090,10408200,2288160
"A2ML1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAAS",NA,22364.4,20886.2,18128.9,19775,20962,20870.6,25660.2,22697.5,20558.3,21417.1,28115.9,33904.9,26482,38967.8,26347.3,17613.7,27362.6,27473.8,20105.4,17089.6,20111.1,23934.1,NA,27093.8,NA,17063.1,24041.1,22603.1,16921.5,22542.3,20542.4,29110.1,18699.5,28713.6
"AACS",88659,134640,96743.9,116248,104508,114440,74835.3,63445,100186,73501.8,77525.7,86179.6,97356.4,102383,86307.6,68005.9,111813,74558.4,150329,63643.3,131040,90530.3,107791,63461.6,103328,58502.7,47761.5,72498.6,26898.3,59010.5,98480.8,45590,80824.5,37900.7,73920
"AADAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24188.4,NA,NA
"AADAT",34928.7,40632.5,121389,73128.5,30987.6,83173.2,134286,97499.9,75106.1,95337.8,98507.2,92888.7,62854.8,143084,30132.2,108194,45227.3,27926.7,61932.8,90980.9,74234.1,NA,44210,58594.8,NA,NA,140627,96777.1,99192.5,146191,92275.1,153915,13078.7,35126.2,71031.4
"AAGAB",64267.6,88633,33369.7,30244.8,68298.4,NA,NA,21717.7,27309.7,NA,33860,49921.3,55742.2,NA,58657.8,21478.7,19387.2,33862.5,32756.6,46704.7,21777.3,NA,28483.6,NA,40108,28091.7,NA,61452.7,NA,29445.5,61975.9,21275.6,45928.3,59760.3,24666.3
"AAK1",2101150,1336650,1715960,1287420,1527690,2054050,1510570,1462630,1762990,1725360,1268830,1483370,1328400,1674740,891771,1629780,1808590,1192870,1667450,1332670,1663640,958369,1566140,1205740,1224630,1207700,1386500,1768620,962692,1637340,2028670,1125920,1219440,715398,1390190
"AAMDC",37510.5,32717.6,63578,117772,NA,45620.1,51606.7,59864.9,65272.9,32947,64274,89584.7,97039.7,44871.3,273321,60123.5,NA,161100,106406,42241.4,40282.8,182849,60378,50115.9,88710.4,NA,38199.8,NA,104151,20980.6,33345.7,45800.7,66590.8,339580,93686.6
"AAMP",35539.6,44116.4,31495.7,37090,30820.3,36573.7,35781.7,34064.3,27470.3,35543.2,32888.1,31344.1,40055.2,32396.8,37935,34060.2,32407.8,35108.4,32791.2,29456.6,31001.5,36998.2,36258,38908.7,37624.9,NA,37828.3,37327.8,33376.6,34004.2,37474.8,32187.6,41022.5,41424.3,38630.8
"AAR2",NA,NA,40267.1,NA,NA,NA,NA,NA,NA,37895.7,NA,23963.2,NA,NA,46763.6,NA,NA,NA,NA,34951.9,NA,32972.4,NA,25420.6,NA,NA,NA,51507.4,NA,34384.2,NA,NA,NA,33127.8,NA
"AARS1",1523770,2888450,1728130,2781450,2085530,1937530,1955570,1884880,1810140,1759730,2674420,2152100,2070910,1628990,2547130,1489000,1862610,2435790,1775180,1711650,1382670,2632170,1870870,2090910,2251660,2750390,1680950,1941040,2590020,1604810,1644020,1612360,2339300,2657980,1666660
"AARS2",42292.8,120720,72901.3,108400,72525.1,106153,112178,89781.4,99680.1,98962,88012.5,78730.9,77481.3,118844,76222,84616.5,79517.4,56741,96645.2,70771.7,99513.7,112568,76987.5,121076,74581.2,66341.1,125942,119343,44397.1,109624,115825,83635,69083.6,75885.5,91344.4
"AARSD1",209385,344210,211609,254257,239716,193664,230399,188972,223043,215514,215072,204300,186386,232982,135293,251391,225054,176879,210123,190568,205047,148243,223196,275211,231728,181335,185562,303286,94889.8,230124,235739,214627,169232,70983.3,79163.3
"AASDHPPT",364845,674573,622225,669820,459503,563384,565989,530985,528583,626521,569210,642981,454029,604996,650838,564202,500651,634850,538345,637295,492811,422447,516690,739475,621222,617978,388129,594350,644154,578959,524491,696579,645392,483209,527985
"AASS",NA,167747,95941.1,95723.3,91705.1,100068,95969.1,103498,89263.5,151278,108576,126902,154331,137700,189953,164902,52919.6,163603,105344,100479,108385,186632,84397.3,64237.4,161660,147545,91753.6,162321,368361,181484,119156,130196,153853,304038,174724
"AATK",NA,13011,12472.4,9804.31,10561.2,8023.39,NA,8267,10778.3,12906.7,7116.11,11458.1,8948.62,NA,6175.35,9881.24,NA,NA,NA,NA,11948.3,NA,9689.54,19717.8,NA,NA,NA,9831.92,NA,NA,NA,NA,NA,NA,12323.5
"ABAT",8266060,5584290,6208300,7097980,6505260,6274210,7324390,4517320,4700270,4160640,8532710,5203070,3947830,5740070,2754360,5243590,6066690,3753410,4588990,4584650,6067110,3890100,5379940,6958500,3583440,4864170,6108290,6407780,5984640,4449490,6155840,5426650,3543460,3753820,3804370
"ABCA1",NA,NA,NA,NA,8056.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,17822.5,13711.5,NA,NA,NA,10202.6,NA,22278.6,6614.54,NA,NA,NA,14022.5,NA,13610.3,13474.3,NA,NA,NA,10920.9,NA
"ABCA12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA2",50489,173423,115468,134727,53480,89318.8,64939.2,130750,66711.6,88490.7,101392,134005,187612,53340,288086,46126.4,56683.3,296267,94234.2,135860,68054.2,97326.1,98029,53418.9,142171,230019,65119.2,45024.7,141221,37042.6,55455.5,62783.6,294596,74109.9,75756.3
"ABCA3",49233.3,45994.4,35086.2,38006.4,29841.9,32833.3,44399,47017.9,41895.6,52369.1,37376.5,42121.9,37897,46689.8,47738.8,38094.9,24897.5,NA,46150.3,32351.2,52499.6,36011.2,36955.3,NA,31587.3,NA,36237.3,50746.6,55056.4,37325.8,71420.6,48371.1,25832.7,41457.7,46205.2
"ABCA5",55010.3,44280.4,24529.8,39821.5,36355.5,29887.3,32098.1,37167.3,43737.5,36560.6,39898.7,29638.6,29781.1,50521.5,NA,30502.1,61401,NA,38433.9,35528.1,54747.6,21732.8,55496.2,23217.7,22131.8,NA,26010.2,42608.9,39442.1,56045.4,67341.1,56557.3,NA,26927.3,34711
"ABCA8",19664.2,163886,60637.8,84913.5,29758.3,24215,29105.9,50918.4,27096,NA,60465.4,83914.4,113573,NA,155954,28263.8,NA,119982,23604.9,52204.8,19976.8,62905.1,44694,36491.6,113654,100931,NA,NA,NA,23757,NA,NA,123967,NA,29631.7
"ABCB1",26577.8,53597.4,30026.6,34497.9,65735.2,34971,46881.1,36930,49893.8,45116.4,50560.8,44676.9,66744.6,36451.3,33733.5,44347.3,40833.5,40372.2,40799.3,34084.3,42708.2,66685.4,37880.1,26412.7,32611.3,NA,43320.9,65942.9,34100.1,62686.9,55436.4,42870.6,37409.3,53488.1,35568.3
"ABCB10",32949.2,50381.5,40428.2,45219.3,68127.4,47738.8,37469.8,46537.1,59709.2,64870.2,48073.1,57832.2,54264.2,48090.8,38467.4,63125.6,60969.4,31529.4,54229.3,42914.1,69071.9,42480.9,59758.4,38659.9,38199.6,NA,69046.4,77449.2,44777.1,48037.7,57845,50292.3,27556.7,51074.8,39122.6
"ABCB6",15935300,8587520,14239800,8787770,9751900,6384630,15573000,15434500,8129100,7166650,18086100,16707300,9357770,12250600,13553200,15099900,7027980,13133300,17336100,6219190,13139500,17986200,14014400,6516990,9067220,17152000,13103000,13577000,12504200,11322900,8591070,13212000,12101000,10698200,12152900
"ABCB7",21993.2,89783.3,128874,90882.7,108425,103130,118686,88344.8,122712,139128,125915,82127,132788,112555,112711,100124,101055,84649.6,100378,80225.3,122532,110216,118608,67128.3,55007.8,63114.2,111718,125347,125972,121183,113543,134647,93331.7,165297,116958
"ABCB8",77133.9,106535,108611,100024,154158,100876,132229,107925,117910,119524,115652,102001,59515.6,148417,70599,100087,165748,82908.7,109960,98897.6,121720,96261.5,93230.2,72911.1,93633.6,65104.3,125188,189939,121169,140044,187830,134249,86761.3,82099,110387
"ABCB9",8206.35,24607.4,9832.65,21251.3,7946.4,7814.44,NA,17892.3,15495.4,NA,26894.1,29334.1,20649.2,NA,18145.7,NA,NA,25920.6,12196.3,19288.5,18791.7,NA,11822.2,NA,15458.3,38190.5,NA,11285.9,NA,NA,NA,13133.5,24905.2,NA,7248.33
"ABCC1",16734.2,6268.03,NA,8181.32,NA,10321.7,8948.43,NA,10888.4,NA,NA,11763.7,NA,6951.41,6244.64,NA,NA,NA,9297.79,NA,NA,35668.6,4470.81,NA,NA,NA,NA,11761.4,9987.62,NA,NA,9941.35,NA,19466.2,9945.02
"ABCC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,18934.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCC11",645148,608203,NA,NA,537466,NA,NA,329166,288983,125201,99168.8,127776,547004,206776,174973,298870,527235,423758,288765,536851,342720,178540,NA,NA,584599,234522,NA,NA,NA,142092,774373,266469,374015,183504,329415
"ABCC4",16038.3,18559.5,15047,16538.9,15401.3,NA,17453,18295,19425.1,17686.8,24093.7,19532.3,48158.4,19336.5,60551.7,20615.1,NA,26878.5,19202.2,15627.8,NA,29054.1,17799.1,NA,31724,NA,NA,30567.8,94363.4,38865,18056.6,15638.4,24953.2,66860.1,27315.9
"ABCC9",NA,NA,NA,6378.52,NA,6400.17,NA,NA,NA,7088.33,NA,NA,8759.63,NA,13101.2,4138.67,NA,NA,NA,NA,NA,NA,3552.47,NA,NA,NA,NA,NA,13260.2,NA,NA,NA,NA,30666.2,9341.01
"ABCD1",NA,10565.8,10213.6,NA,NA,12614.3,8639.99,18854.7,8900.14,12011.7,NA,14618.9,17301,11377,15602.5,12522.1,NA,NA,18038.4,13883.6,12527.3,24609.7,7405.79,NA,10004.3,NA,13027,13431.4,20896.8,14371.4,8983.54,12497.2,16220.3,25329.5,8853.49
"ABCD2",20962.5,18442.4,42687.9,22188.2,32978,53102.6,46512.3,57883.5,32871,48697.7,31268.8,35145,33379.3,62138.4,19682.1,43669.7,42229.4,44173.5,37302.7,49252.7,45254.3,29160.2,40741.5,23159.2,20002.2,20699.7,47591.2,43532,41746.1,67508.6,52774.8,54133,42250.7,10933.6,53191.4
"ABCD3",182609,417944,305235,215744,348622,179816,377849,371389,255312,286179,288863,281913,500533,218001,456772,291003,149091,534668,316854,397002,372775,468279,299417,156921,350682,252403,349864,379081,491370,293957,294207,268061,532516,419976,255508
"ABCD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4694.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21767.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCE1",311299,321753,282045,225012,291819,287501,280882,275187,266817,320666,273319,264690,289549,286590,316863,207174,252826,318023,291833,247704,292429,265853,221070,123583,217220,245936,233016,300201,474632,371807,318163,294548,301892,332461,234083
"ABCF1",48268,90130.8,78723.8,54985.4,79767.4,75429.8,56059.4,102644,70084.7,84676.2,56556.3,88109.9,106863,85126.6,172198,68706,61462.7,127070,95428.3,95921,84640,125509,78973.3,47588.1,99880.7,87313.5,48165,73606.7,84799.2,65564.1,100853,108743,123857,84609.5,104453
"ABCF2",54323.9,90100.5,59149.5,44593.9,61906.8,61255.1,64643.2,69031.5,54558.6,60626.2,68189.2,79309.3,94266.4,60817.9,114241,54772.4,51546,93019.3,70716.4,71200.8,71467.4,107309,65626.2,44378.9,78498.3,72695,38257,48915,68477,39536.6,58551.1,48529.4,95445.3,96003.2,76323.2
"ABCF3",49109.4,74297,51426.7,32649.4,70428.4,59455.6,54989.9,63354.4,65505,53071,36463.1,60403.9,70404.5,69436.6,75718.2,54580.9,47310.7,50807.9,66223.1,59628.4,67661.5,61530.2,57275.8,40922.3,52828.4,27705,36689.8,52774.3,18088.9,44462.6,61261.9,48794.3,50995.8,38341.4,53162.5
"ABCG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24383.6,18616.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCG2",40998,NA,31891.6,NA,NA,NA,NA,19037.4,17612.3,10747.5,NA,NA,NA,25152,12336.8,NA,NA,28784.2,21276,NA,NA,NA,21254.9,NA,NA,NA,21432.3,43449.5,NA,24821.8,NA,NA,NA,NA,19041.3
"ABHD10",1144810,1416720,1419660,1426920,1521240,1509570,1414910,1152560,1436870,1442310,1505670,1176020,1085580,1336980,913147,1376910,2134540,1155010,1547500,1257140,1017760,792778,1585820,1327790,1386620,1100000,1235660,886449,1440410,1843900,1419930,1319320,1204100,1179070,1103590
"ABHD11",NA,139139,354144,438879,127639,412141,297553,360093,724592,384056,338613,573005,262327,411511,520205,400317,312518,603157,497145,349088,262807,474339,450116,552043,243235,475854,404121,75832.3,175176,330450,217793,295469,511544,356599,516417
"ABHD12",392951,248051,348505,469853,217537,299106,304156,297112,225041,292824,379340,412170,319098,277441,348498,276929,287940,349178,313950,339849,229925,360137,257031,385383,264516,442076,204551,188809,433721,256045,230587,331858,360008,362924,302644
"ABHD14B",566218,1062380,414919,559621,796164,439405,407407,410380,517689,256822,544551,524383,983864,352126,2279760,618248,407836,737561,783984,437433,360356,1747370,778145,595804,1130400,345711,206869,709577,499011,270121,402894,298100,683528,2936440,1304510
"ABHD16A",357303,365983,346855,345828,479266,393756,388737,355800,436612,421269,383022,384218,336207,435534,296316,403820,452331,306289,363146,364947,446543,353176,414596,224458,293444,269900,420664,473794,378225,371616,479177,517848,318092,347601,415867
"ABHD17A",17530.9,32646.5,14912.2,21305,13882.2,12886.3,20495.2,27025.7,14400.3,23854.4,17998.7,20589.6,21574.4,15302.4,17807.9,13250.8,15211.2,18659.8,17990.6,22778.2,NA,NA,17809.1,NA,28019.2,NA,16527.1,17422.3,21692.1,14114.2,22658,19812.4,18351.8,16372.2,14296.5
"ABHD17B",206918,456015,256901,366796,196094,220672,188698,437060,216261,258841,267054,398620,275466,166139,770032,229288,196523,620252,280998,356398,116144,274711,311937,181201,364161,393562,104231,144218,411870,180189,129206,211768,619636,177937,249570
"ABHD17C",28811.9,29734.7,28320.3,26526.8,24145.5,32962.7,29265.7,37594,44012.1,49253.2,24531.9,34067.1,27522.2,30507.9,31867.7,46909.3,31814.3,18443.9,23218.7,30892.2,30684.1,24210.4,34425.6,37709.7,24058.7,NA,NA,31964.2,23846.2,37533.8,23702.4,33093.8,25550.1,55370.3,49195.9
"ABHD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60588.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD4",NA,12256,5609.56,5434.12,NA,NA,NA,5576.66,NA,7835.43,9724.38,5962.86,8145.86,4027.55,23157.1,6098.46,NA,19544.7,4397.22,7069.08,NA,21466.9,8400.47,NA,10131.6,NA,NA,NA,4417.96,NA,NA,NA,12158.2,12758,7742.65
"ABHD5",55455.4,37380.3,34299.9,37605.8,29469.8,34354.5,44531.9,34357.6,36433.2,33023.6,36791,33751.2,31952.7,48641.8,25989.2,47585,34435.4,39029.2,44100.4,37679.6,30469.4,36014.5,31660.9,35637.2,22360.9,NA,NA,58017.8,34120.6,63091.1,44715.2,30647.8,29659.4,28038.3,28128.2
"ABHD6",75485.3,165975,148844,109594,129967,99518.6,101715,138371,119967,199858,106081,156162,155400,101321,187054,104886,131192,175505,179491,140819,192548,85537.7,125114,72337.9,115532,122078,111200,146735,134774,88416.8,168242,182701,180943,105395,129528
"ABI1",1121160,647219,1314440,1340080,830005,1526350,1374610,1320760,1423250,1591960,1181730,1347870,955707,1501890,1311160,1343440,1546480,1209590,1151100,1427430,1142480,1355630,1341490,1879170,1238500,1267800,1202760,655478,1426150,1592940,1076040,1218080,1212460,1109080,1444480
"ABI2",1358540,708734,1835100,1794860,893340,1882360,2037120,1893020,2050790,2001440,1355660,2057440,1062270,1986570,1063800,1747140,1532140,1343240,1380850,1799260,2358210,877537,1508840,2881000,1346410,1500570,1535410,881589,1528960,1741790,1603140,1690380,1292760,777528,1686320
"ABI3",21642,49783.1,19820.5,32505.8,26642.6,26328.1,28778.1,35522.9,29418.9,20020.9,32516.9,33561.4,64309.6,19383.1,29731.2,20257.2,17979.7,27547.4,27453.8,36209.4,NA,29510.1,16083.1,16534.8,35353.2,33477,32203.6,18532.3,28032.9,23634.9,27129.8,NA,NA,39252.6,20540.9
"ABI3BP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3495.66,4192.73,9828.56,NA,12256,NA,NA,NA,NA,NA,NA,NA,NA,11843.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4178.18
"ABL1",NA,NA,10799.7,7523.85,NA,8913,NA,9249.57,9965.08,14151.1,6669.15,13520.4,9498.74,13531.6,15946.3,12768.9,11538.8,NA,13250.8,11604,10105.2,13936.3,9346.28,8886.16,NA,11379.9,9063.52,10040,9791.23,17157,13768,15499.3,12136.8,8143.14,11948.8
"ABL2",66174,57539.1,61360.8,49309.6,60187.5,68379.3,71429.4,63148.7,71759.6,78387.3,55565.4,68287.8,52735.6,70670.3,52569.5,65838.6,52789.6,47084.2,64877.2,62003,80638.4,45420.1,69951.3,48122.2,54862.8,31154,94435.5,56424.5,31689.9,73549.8,80482.1,55839.9,47318.8,37337.7,64709.3
"ABLIM1",718940,180101,525347,96656.3,473207,619278,152224,594233,579478,437667,111792,156885,710496,672342,571998,539514,371193,419426,850974,604748,416678,1520220,513765,526756,889895,165886,114138,337514,132629,576052,525246,346961,428274,631305,720834
"ABLIM2",794365,130997,726117,152061,737439,914354,188375,559622,498813,414200,147847,159803,535376,647489,144663,659660,578524,391693,533641,560539,546446,353094,658355,853892,502461,138328,127122,350492,79257.2,498491,585810,466144,414018,98883.7,525201
"ABLIM3",23800.4,NA,29702.3,NA,28322.2,35745,NA,24730,29458.9,15152,NA,NA,14379.8,28638.2,NA,35973.4,NA,6858.48,31705.5,25270.9,25959.7,22189.2,31903.7,27371.6,10067.1,NA,NA,14128.4,NA,31322.4,30065.1,37712.1,NA,NA,19177.6
"ABR",699702,945092,1074820,887528,1029420,1089100,1117650,1342280,1291180,1369330,942609,1150010,870304,1230060,942658,1017210,1007850,1066940,985934,1271490,1089850,762980,1052170,780089,921052,765388,718141,1013680,502739,1033500,1099830,1115460,1071340,595770,1266030
"ABRACL",NA,NA,59476.1,55201.3,NA,NA,NA,65108.9,105518,41099.4,66549.5,85416.6,49931.6,53432.6,160944,111701,NA,48651.6,35096.6,108668,65803.8,NA,125729,109133,91784.2,NA,NA,NA,18635.6,NA,NA,66539,92488,226090,113732
"ABRAXAS2",441293,246318,188706,209047,210297,179889,218462,195278,208096,197211,196183,186808,170120,176101,218257,204825,189401,156982,168612,165483,170727,202878,182001,239705,162160,149822,217043,234086,230198,211018,235881,182743,156444,213728,197093
"ABTB3",NA,NA,NA,NA,NA,NA,NA,20795.6,NA,NA,NA,NA,NA,15198.1,NA,NA,NA,NA,NA,12264.4,NA,NA,13783.2,NA,NA,NA,NA,16289.4,NA,NA,NA,NA,NA,10643.2,NA
"ACAA1",1221300,1859510,1514140,1457390,1283420,1531220,1445960,1301840,1350930,1180390,1711070,1511520,1683300,1088630,2122900,1181890,1103640,1466760,1366450,1057720,1215880,2059710,1318360,1544680,1383530,2268120,1108360,1264630,2242150,1402040,1403800,1000610,1357670,1419460,1383800
"ACAA2",2484660,2815860,2087340,1916320,2851830,1942560,2470670,1615330,1850750,1711050,2659980,2013230,2604780,1391430,1838230,1766850,2160130,1904140,1863020,1524580,1757760,2719740,1654300,1651580,2228010,2402730,1652190,2227920,3036290,1624870,1716650,1351440,1891230,2513780,1801380
"ACACA",170768,249155,268161,188033,243966,255673,242023,251461,262543,284329,213184,249806,244304,298021,216399,252622,259405,207173,283708,244816,316891,256546,240259,147476,197105,145632,296431,332504,190785,284801,380047,299549,197916,199895,262079
"ACACB",NA,15244.4,NA,68555.8,NA,NA,NA,NA,NA,79572.7,NA,37398.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAD10",NA,13103.8,7945.39,NA,7303.69,6299.69,12132.9,8390.23,11409.8,8744.76,8172.16,8442.49,14483.5,9141.5,12822,11342.7,9844.85,NA,11927.3,11024.3,17102.5,7444.94,11401.6,9754.75,NA,NA,NA,NA,NA,7607.18,13756,11289.6,10023.9,11481.4,11650.6
"ACAD11",NA,13185.7,21413.9,NA,21897.2,15402.4,16247.5,24985.2,NA,NA,NA,12889.3,24672.9,19440.8,30627.6,21140.4,NA,NA,30300.8,19557.7,NA,67404.6,13374,NA,NA,NA,NA,NA,11942,NA,21731.5,16738,NA,27508.8,24846.7
"ACAD8",724642,343680,320661,318774,467158,418267,440351,328105,426099,500495,418211,277697,358719,503127,196970,476691,525634,243307,424626,327402,380557,266088,409988,272221,302770,175032,436117,511311,350801,526113,615610,458425,252039,277328,361127
"ACAD9",279932,343276,366727,328596,455587,347080,334816,350727,295420,385903,425170,305153,342703,408292,256155,370035,431447,344996,310470,395787,357174,170288,318914,266670,304478,280597,401720,541154,228366,292795,560498,338065,321923,364675,345678
"ACADL",84857,NA,NA,NA,16643.6,NA,NA,NA,NA,NA,43707.1,NA,NA,NA,87021.1,65505.4,NA,NA,NA,NA,NA,NA,42206.7,39278,41434.3,NA,26856.5,NA,NA,NA,NA,35319.7,NA,137248,80707.9
"ACADM",326343,600714,474432,501230,433805,516564,454899,436332,344143,593721,687616,286377,621869,560319,552179,464331,466979,492167,343318,424575,384834,501974,423283,433729,514659,581890,628452,682014,900791,553621,568209,701262,476725,667488,512196
"ACADS",173195,532900,413909,383837,561125,416247,404648,284252,203743,134718,305140,453101,571940,338132,557207,266900,425441,496954,416807,235542,148160,638850,428436,190430,369837,504899,150151,355367,426563,228708,171541,239393,511368,559198,383158
"ACADSB",421053,540914,721395,513039,452621,504394,532567,444665,495642,451277,559912,663656,449572,562805,526171,643030,527458,404616,641124,430104,471022,530775,486047,627442,417512,448233,578739,596296,452949,598183,619894,495350,418687,501343,494759
"ACADVL",1274760,997130,670206,910235,985749,815811,747022,594734,781554,608391,953477,787263,1321990,758598,1738140,692127,953535,843433,1128160,651215,695507,1610460,676404,496012,1120940,922492,591192,604894,1150140,519953,915861,504646,822619,1835020,409394
"ACAN",640936,491215,383864,328490,164697,270028,297265,785039,243161,651606,255718,632637,373438,179404,2623190,345971,201368,940700,586082,773863,300509,544036,223564,207150,612494,758966,283273,139547,3189320,184834,NA,290646,824561,752468,409792
"ACAP2",47721.7,65968.3,52461.7,47511.1,50060.3,61429.6,63057.7,56004.1,60742,64566.2,46610.6,52868.7,56982,56993.9,75280.6,62653.9,55176.6,59246,62068.3,57038.8,65756.4,59526.4,64707.4,39409.5,47610.5,42515,45923.3,58949.6,38620.9,55639.5,61569.7,56298.3,60085.4,56234.2,62793.7
"ACAP3",NA,20618.7,13323.1,9241.97,NA,15544.5,16254.8,10975.3,19257.2,23939.7,NA,10441.3,14160.7,13620.7,12489.2,14572.7,NA,9797.74,12796.5,11444.4,25452.6,NA,11350.4,24952.7,NA,NA,NA,NA,NA,NA,11871.2,12753.3,12423.8,NA,11320.4
"ACAT1",4029660,7622480,6255540,7199150,7486430,6723890,7374720,6209760,6800520,6296380,7626260,5913420,5740700,6600700,5492480,6708080,7882600,5870090,8396870,5583740,6091620,8150060,6534360,6958490,5689870,7649570,8357570,5329080,7350740,7317440,8524100,7124880,5620250,6890360,5207710
"ACAT2",1444250,1507280,1275940,1507740,1309960,1275910,1146640,1473940,1210810,1611010,1607490,1492240,1366020,1359860,1728420,939151,1430670,1654390,1299850,1624490,971661,1447730,1428540,1207360,1415890,1816350,1121390,1697670,3468960,1483320,1981460,1362720,1624170,2775040,1320700
"ACBD3",42304.2,75137.7,53259.9,60815.7,66577,54707.8,66243.1,58481.9,59393.5,65427.9,60724,62050.9,80183.7,61769.1,70583.4,61281.1,49574.6,60825.1,64858.8,61374.2,66890.9,86887.1,47118.5,43104.7,62424.3,51750.3,79313.8,76813.9,52687.3,58175.2,81664.1,74258.2,64019.2,51372.4,63827.3
"ACBD5",71286.1,180233,125290,166929,76208.7,83834,104762,131835,93779.1,99000,135550,149871,172824,77444.4,216362,89626.5,56514.6,162639,123887,126939,87153.8,175560,101469,131664,173485,164477,96657.2,85858.9,202755,81359.9,76878.3,73765.8,173964,159440,112727
"ACBD6",33337.9,93665.1,35002.1,56401.9,56648.9,35256.6,37416.2,29898.3,39660.6,40252.8,31741.9,55511.7,50506,31220,58028.1,58745.5,46770.4,46668.7,45966.3,51537.2,27982.2,26024,54459.9,45577,42920.5,40145.8,27515.9,47655.1,19680.8,27220.1,52380.1,NA,50370.4,32885.2,49985.8
"ACBD7",NA,NA,32561.7,38953.9,NA,NA,29112.5,NA,19437.3,25809.2,34347.8,15186.1,NA,NA,NA,14459,16467.6,NA,NA,NA,23094.6,NA,12432,56032.7,14500.4,NA,24210,NA,67274.6,NA,NA,11120.3,NA,NA,11386.1
"ACE",187150,64795.5,72207.3,56005.7,24932.6,67759,86770.8,69689.8,55083.6,63905.9,72964.6,58121.4,53199.5,87983.1,64919.4,90143.3,52156.8,26138.2,49823.1,56461.3,50371.3,103573,43231.2,69825.2,64023,NA,56120.9,125718,82618.9,87344.9,112561,89893.5,27405.3,57862.5,64322.2
"ACER1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACHE",50835.2,10820.5,9679.03,7727.08,NA,9484.61,NA,NA,13394.7,12966.8,NA,NA,NA,NA,NA,16624.9,NA,NA,NA,NA,NA,NA,14594.6,NA,NA,NA,NA,21856.4,NA,46436.2,NA,NA,NA,35726.9,NA
"ACIN1",81064,87146,90080.6,105739,91130.6,85276.6,63116.8,79075.8,70125.7,93565.4,66621.8,72154.6,82768.7,115063,100178,96214.6,66795.2,83762.7,69160.5,85364.8,75707.7,67627.6,83494.5,110138,92626.3,76681,60402.5,109106,56263.1,83820.7,107932,66674.8,86165.4,55304.5,97089.8
"ACKR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98062.8,NA,NA,NA,NA,NA,NA,NA
