"","Control_3","Control_4","Control_7","Control_9","Control_13","FCDI_1","FCDI_2","FCDI_3","FCDI_4","FCDI_5","FCDII_1","FCDII_2","FCDII_3","FCDII_4","FCDII_5","FCDII_6","FCDII_12","FCDII_14","FCDII_15","FCDII_16","FCDII_17","FCDII_18","FCDIII_2","FCDIII_4","FCDIII_5","HME_1","HME_2","HME_3","HME_11","HME_12","HME_13","HME_14","TSC_1","TSC_2","TSC_5"
"DHRS1",56928.8,46993.8,38097.5,71987.3,67347.3,35487.6,38358.6,25226.2,42336.2,45907.1,54934.5,38743.9,77583.4,35829,68616.9,49038.5,55598.7,42047.3,44832.1,26714.3,20248.9,79072.2,41666.7,35726.9,48306.7,36105.2,NA,36421.8,36308.9,37853.8,36484.3,12461.6,38295.4,64844.9,31006.1
"DHRS11",92624.2,50661.1,118466,213959,90680.4,146864,113964,86606.7,117752,106422,187007,108871,104090,115552,114097,108363,130748,76827.3,92245.8,91017.2,47267.2,90796.3,170201,160120,109412,97839.9,62378,38750.4,86311.1,82202.7,62964.2,77695,85464.4,130236,103054
"DHRS13",9931.82,11052.2,8450.43,6478.57,10442.7,12429.2,11686.1,8704.36,10629.5,6515.92,9871.23,10283.3,17439,18613.2,15494.1,17071,13959.2,10242,19627.5,9072.59,NA,25325.8,16707.2,NA,13564.1,NA,NA,NA,NA,13682.8,17547.2,13356.8,13407.4,14824,15256.6
"DHRS4",46607.1,144740,101151,129659,151343,133869,110204,111631,45555.9,98905.4,149348,130198,97770.8,26990,277545,86724.8,58595.8,149925,55131.7,108900,35517,259528,139560,93885.4,156086,134355,31931.7,48058.2,222653,47002.8,96949.2,39825.6,150777,97141.9,125708
"DHRS7",413723,616137,394676,614309,405764,353461,305238,370971,311880,328715,504199,332623,418666,185238,686685,343209,402813,572572,358544,372133,322189,662109,443001,356127,375730,787200,324443,201861,494313,219391,161838,292055,555759,644940,342488
"DHRS7B",101633,130378,195245,129938,168044,148845,168873,163522,149054,153364,198738,164022,157376,145365,258661,152482,126000,146499,157333,168741,172650,221737,184190,95864.1,148991,72542.2,137765,160156,175944,166621,138836,168501,147662,316621,250113
"DHRS9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DHTKD1",18912,43912.4,71638.2,53819.4,29762.5,44850,90802.6,32333,29233.4,111521,80891.2,60907.9,83185.2,44469.4,57817.5,104471,55810.3,34398.8,88857.3,28748.9,NA,107996,26452.5,31686.5,32333.5,NA,48290.5,93033.9,79012.8,51159.9,86176.9,36977.6,35052.3,58566.8,34743
"DHX15",138776,165595,272177,121252,323114,298332,178944,294669,290843,308517,153480,173264,431927,407478,379383,267493,250922,307123,248621,287907,312236,280699,301528,169575,294264,179104,180497,263222,124391,288002,297687,381876,320800,191965,298796
"DHX16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5079.1,3172.68,4419.24,NA,NA,NA,NA,NA,NA,NA,3604.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3328.47
"DHX29",NA,28328.6,24329.3,21654.4,23879.2,20962.5,17072.4,31954.4,31343.6,24597.9,16555.9,24938.9,23976.6,25730.2,56526.4,18989.5,18441.7,37630.7,30521,33097.4,39481.2,31200.9,23591.9,18341.5,24201,NA,17201.1,22387.5,22671.3,19804.5,30645.6,30974.3,35624.9,19222.4,28876.1
"DHX30",65810.6,NA,65286.1,NA,118050,128493,37639.9,57633.8,131479,41312.8,NA,NA,108848,160852,13410.8,122223,90237.5,NA,82979.5,54218.5,138042,92732.6,111083,81998.3,91444.4,NA,38785.8,76055.7,NA,79888.2,152878,155122,NA,27025.6,124929
"DHX32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DHX36",24284.7,35895,46385.9,31821.4,37085.4,54739.5,38081.7,38146.6,40498.3,35820.3,34193.9,40014.7,45800.3,61697.1,56658.2,40952.9,38447.5,33969.2,36703.9,42854.3,49584.1,41335.6,43711.2,27924.3,32388.2,NA,28292.7,45555.1,39655.8,40308,62864.4,68754.6,35558.3,36831.1,55329.2
"DHX38",NA,10250.5,14389,10100.7,NA,10733.8,11030.8,15939.4,15478.5,13050.4,9710.77,11189.4,18872,15488.4,26583.3,12222.4,11061.2,12312.5,10314,15920.5,12292.8,11403.7,16231.3,9122.15,10319.2,NA,11932,NA,NA,NA,11900.9,11059.2,18590.5,11553.9,14763.5
"DHX57",NA,NA,2887.5,NA,5935.16,NA,NA,NA,NA,NA,NA,NA,5150.32,9495.67,2429.43,7906.78,NA,NA,NA,4596.81,NA,NA,7689.38,NA,NA,NA,NA,NA,NA,NA,12350.4,6480.92,NA,5288.66,6452.81
"DHX8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10868.2
"DHX9",259099,216209,754263,152305,943162,1087590,352803,734117,855452,663922,179322,176976,1007120,1325080,408254,796832,704194,410186,676858,702927,948407,738532,796357,526764,675300,235718,516755,797841,132704,887841,914505,1143360,400654,374333,901315
"DIABLO",326910,251050,354154,303837,NA,NA,421928,NA,270303,NA,578357,161048,185668,NA,NA,NA,84844.1,107049,NA,164743,135596,NA,NA,NA,854017,NA,381878,175021,498903,NA,263433,NA,270367,636466,NA
"DIAPH1",31085.8,23944.2,41983.1,60032.8,30979.2,51738.5,53794.3,41356.4,36805.8,45173.6,71452.8,50933.9,36480.1,65323.3,41993,55201.8,41134.2,32780.6,36985.8,38431.2,49908.1,45476,54592.3,88845.7,46454.2,25858.6,39553.7,62061.2,33873,48841.7,31173.5,41380.7,29051.6,79845,56408.3
"DIAPH2",44705.1,NA,39314,46259.2,NA,31486.9,53732.4,33772.2,56638.5,43481.6,35426,40872.2,26761.6,46856.7,35600.4,70414.6,44856.1,NA,34543.4,35160.9,34320.1,34655,51700.7,72914.3,29556.6,NA,34570.2,37031.9,25477.6,32974.8,32956.2,47843,NA,37028.1,46717.7
"DICER1",NA,NA,NA,NA,NA,NA,NA,NA,NA,6102.28,NA,NA,NA,8087.61,NA,6184.38,NA,NA,5439.16,NA,NA,NA,5374.75,NA,NA,NA,NA,NA,NA,NA,5418.33,NA,NA,NA,7130.68
"DIDO1",NA,65919.9,56336.9,NA,78386.9,69742.6,NA,61686.9,118590,69065.6,165428,114236,81833.4,102968,136231,98321.1,70229.1,NA,127573,74067.5,43676.4,138497,115935,54788.7,106218,118153,NA,NA,50546.7,57110.6,74955.9,43421.3,61632.6,137882,87749.3
"DIP2A",42268.9,54806.3,80695.9,53765.1,43377.9,66769.5,74854.9,77789.9,61077.8,54876.7,65238,76414.2,59486.8,80437.8,64695.4,69243.5,44490.3,70137.8,42341.2,69767.1,76062.6,41996.8,61541.3,34158,57550.8,54775.2,65043.8,60341.1,62831,66549.1,47301.6,60808.8,59289.1,82025.8,81866.4
"DIP2B",622860,1030750,906302,902704,657081,758570,692687,951126,792362,734909,988968,961683,773968,647268,1220620,619491,674659,1059030,864469,869961,807266,1031570,702442,414754,845776,938296,690521,701481,1197960,822131,758515,605171,1045630,1264070,905302
"DIP2C",115334,126436,134362,126441,137575,132687,147387,135147,145477,134133,137232,130260,123062,129450,106977,127860,152539,122645,108328,133438,137147,112004,137066,75866.5,126614,72704.7,109462,146732,102700,151135,140701,117962,125189,130305,134343
"DIPK1B",NA,NA,2703.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2060.07,NA,NA,NA,1869.47,NA,NA,NA,NA,NA,2762.21,4914.35,NA,NA,NA,NA,NA
"DIPK2A",NA,NA,3309.75,NA,NA,NA,3252.01,NA,NA,NA,4005.55,2843.75,NA,2915.78,2395.54,NA,NA,NA,NA,NA,NA,NA,1873.5,NA,NA,NA,NA,NA,2765.7,NA,NA,NA,NA,2062.13,NA
"DIRAS1",882286,818371,1022290,732378,932797,1061740,928502,1120600,956061,1346360,860183,954644,592604,1331970,668975,803946,827155,840664,846947,889485,1304350,584465,992056,670802,505968,763840,1441870,1417770,810399,1219080,1066570,1196660,886161,475085,1133300
